chronological_order,study_directory,study_family,archived_status,paper_status,primary_use,reason
1,20260820_051738_catalog_sweep_staged-static-03-legacy-v2-bridge-v2,Stage3 legacy-to-V2 bridge,passed,diagnostic,"Document pipeline migration and motivate matched ablation","Only one repeat; cumulative bridge profiles are not the centered one-factor study"
2,20260820_144230_stage-ablation-01-static-peak-detectors-v1,peak detector ablation,passed,superseded_supplement,"Audit trail only","Superseded by the final detector contract and ppg-beats matching implementation in v3"
3,20260820_182324_staged-static-05-pre-motion-ptt-v1,Stage5-pre motion and denoiser,passed,primary_for_denoiser,"Frailty29 motion evidence; PTT cross-dataset benchmark; denoiser endpoints","Use detector values only with version label; the later reverse-ablation run provides the matched two-model detector comparison"
4,20260820_201045_stage-ablation-01-static-peak-detectors-v2,peak detector ablation,passed,superseded_supplement,"Audit trail only","Superseded by v3's 300 s lag update and final algorithm naming"
5,20260820_225546_staged-static-05-pre-motion-ptt-v1,Stage5-pre reverse training-dataset ablation,passed,primary_for_motion_comparison,"Frailty29-trained versus PTT22-trained detector comparison at window and file levels","PTT is a complete cross-dataset benchmark; it is not an untouched independent external validation"
6,20260821_162454_catalog_sweep_staged-static-03-centered-star-v1,Stage3 centered star ablation,passed,primary,"Matched B0-centered component evidence for CNN and InceptionTime","Five repeats and identical split roster; interpret per model because effects differ by architecture"
7,20260822_190832_hyperparameter_staged-static-06-batch-lr-successive-halving-v1,Stage6 batch/LR,passed,primary_development_tuning,"Persist batch 16 and LR 3e-4 for the configured Inception route","Same tuning CV and post-selection; not an independent final-test estimate"
8,20260822_235009_hyperparameter_staged-static-06-regularization-grid-v1,Stage6 regularization,unknown_or_incomplete,exclude,"No numerical paper claim","No completed study manifest or selected configuration; replaced by the completed 031621 run"
9,20260823_031621_hyperparameter_staged-static-06-regularization-grid-v1,Stage6 regularization,passed,primary_development_tuning,"Persist R2 wd=.001/dropout=.5/label smoothing=.2 while reporting R9 sensitivity leader","Joint-profile grid; no single-field causal claim and no Holm-adjusted superiority"
10,20260823_075821_catalog_sweep_staged-static-01-representation-baselines-v2,Stage1 representation/model,passed,provisional,"Four completed routes provide provisional representation evidence","The plan now contains a fifth default Fusion route; rerun is required before representation/model freeze"
11,20260823_104616_stage-ablation-01-static-peak-detectors-v3,peak detector ablation,passed,primary,"Freeze MSPTDfast v2.3 Python port as default and aboy_project as explicit ablation","Final 300 s lag / ±150 ms beat-matching contract; two recording-F1 tests reject after correction"
12,20260823_111337_catalog_sweep_staged-static-05-sqi-motion-compact-cnn-v6,Stage5 SQI-motion composition,incomplete,exclude_pending_rerun,"No effectiveness result yet","Five W1/W2 recordings shorter than the 8 s SQI/peak window cause deterministic fold failures after CPU preprocessing"
13,20260823_205429_catalog_sweep_staged-static-05-sqi-motion-compact-cnn-v6,Stage5 SQI-motion launch attempt,aborted_before_any_cell_completed,exclude,"No numerical paper claim","Only study/case-start progress and resolved configs were persisted; no completed cell or study report"
14,20260823_205510_catalog_sweep_staged-static-05-sqi-motion-compact-cnn-v6,Stage5 SQI-motion one-cell diagnostic,incomplete,exclude,"Diagnostic audit trail only","The off/off cell passed one selected fold; SQI-only then failed closed with HR/PPI requires at least 8 seconds and the process ended during the next case; not a complete comparison"
