overfit_rank,overfit_stage,overfit_config_id,reference_source,reference_source_config_id,model,cnn_epochs,stage1_regularization_value,sqi_mode,aggregation,window_sampler,windows_per_subject_per_epoch,train_overlap_pct,subject_balanced_accuracy_mean,subject_balanced_accuracy_std,subject_balanced_accuracy_ci95_low,subject_macro_f1_mean,worst_class_recall_mean,worst_class_f1_mean,train_val_balanced_accuracy_gap_mean,best_epoch_train_balanced_accuracy_mean,best_epoch_val_balanced_accuracy_mean,n_train_samples_per_epoch_mean,duration_sec_mean
14,generalization,gen_024,,,inceptiontime,10,wd0.005_do0.5_ls0.2,top50_quality,mean_prob,class_subject_balanced,50%,30.0,0.5648148148148147,0.0526842901700974,0.499409115621484,0.5475522062478584,0.35,0.4128937728937728,0.473641721666255,0.9721596965764364,0.4985179749101814,14111.8,147.71125598386865
15,generalization,gen_094,,,inceptiontime,15,wd0.01_do0.5_ls0.3,none,mean_prob,class_subject_balanced,50%,30.0,0.562962962962963,0.0799600165857945,0.4636954056812942,0.5462729515440513,0.4083333333333334,0.4502380952380952,0.4701843849592852,0.987004966542514,0.5168205815832289,28078.4,366.6629512031097
16,generalization,gen_116,,,small_inceptiontime,10,wd0.005_do0.5_ls0.2,none,mean_prob,subject_balanced,50%,30.0,0.5629629629629629,0.0687153079947407,0.477655317170062,0.55839857673191,0.3916666666666667,0.4399206349206349,0.4451239541738756,0.9510947996143662,0.5059708454404905,22608.0,64.98927926598117
17,generalization,gen_065,,,inceptiontime,15,wd0.005_do0.5_ls0.2,none,mean_prob,class_subject_balanced,50%,0.0,0.5629629629629629,0.0946869616858937,0.4454124196499004,0.552113955950273,0.3916666666666667,0.4457142857142856,0.4596471156003947,0.98201345021153,0.5223663346111351,19735.0,276.1084015224129
19,generalization,gen_001,,,inceptiontime,10,wd0.005_do0.5_ls0.2,none,mean_prob,none,all,0.0,0.5592592592592592,0.0551100968146406,0.4908420061628216,0.5486065416065415,0.4,0.4509206349206349,0.4670620433797458,0.9856277333592384,0.5185656899794925,31704.0,274.57955424059185
20,generalization,gen_177,,,small_inceptiontime,15,wd0.005_do0.5_ls0.2,none,mean_prob,class_subject_balanced,50%,0.0,0.5583333333333333,0.1061589317620846,0.4265407413652411,0.5521513543598167,0.4333333333333333,0.4629288358700124,0.448125706620158,0.9543400468826058,0.5062143402624476,19735.0,83.75326548698358
21,generalization,gen_198,,,small_inceptiontime,15,wd0.01_do0.5_ls0.3,none,mean_prob,none,all,30.0,0.5583333333333333,0.0797587239531778,0.4593156737979615,0.5456649616368286,0.425,0.4776190476190476,0.4811806166559582,0.9809227252080722,0.499742108552114,45180.0,168.29436042453162
22,generalization,gen_108,,,inceptiontime,15,wd0.01_do0.5_ls0.3,top50_quality,mean_prob,class_subject_balanced,50%,30.0,0.5574074074074075,0.0178105407978438,0.5352962454247128,0.5438815592806707,0.4083333333333334,0.4540345428789365,0.483501388596928,0.9782509626229616,0.4947495740260335,14111.8,216.26799279442056
23,generalization,gen_099,,,inceptiontime,15,wd0.01_do0.5_ls0.3,top50_quality,mean_prob,none,all,0.0,0.5564814814814815,0.0981219391980663,0.4346665340135627,0.5548624313423075,0.4694444444444444,0.5109523809523809,0.4857930007291203,0.9871069757121946,0.5013139749830742,16044.0,236.60605525975117
24,generalization,gen_051,,,inceptiontime,10,wd0.01_do0.5_ls0.3,top50_quality,mean_prob,class_subject_balanced,50%,0.0,0.5564814814814815,0.0865133972355413,0.4490781318774172,0.5449620331359462,0.375,0.4291575091575091,0.4633050890963321,0.9620663361093876,0.4987612470130553,9976.2,117.82358821858652
25,generalization,gen_056,,,inceptiontime,10,wd0.01_do0.5_ls0.3,top50_quality,mean_prob,class_subject_balanced,32,30.0,0.5564814814814814,0.0809457345025442,0.4559901899643459,0.5394577189809387,0.3666666666666666,0.4440925087983912,0.437548557621179,0.9270046296296296,0.4894560720084506,4608.0,79.5085102721583
26,generalization,gen_016,,,inceptiontime,10,wd0.005_do0.5_ls0.2,top50_quality,mean_prob,none,all,30.0,0.5537037037037037,0.1079607394472766,0.4196742306638269,0.5538777316270922,0.4666666666666667,0.4665411882803187,0.4898903299837348,0.9843532839286696,0.4944629539449348,22632.0,208.98830259367824
29,generalization,gen_155,,,small_inceptiontime,10,wd0.01_do0.5_ls0.3,top50_quality,mean_prob,none,all,0.0,0.55,0.0798124516278146,0.4509156394401994,0.5465954623292084,0.4,0.4386813186813186,0.443213146157119,0.9354743989601804,0.4922612528030612,16044.0,50.37950500925072
30,generalization,gen_100,,,inceptiontime,15,wd0.01_do0.5_ls0.3,top50_quality,mean_prob,none,all,30.0,0.55,0.0489297318170938,0.4892554533712671,0.5462962673115228,0.4305555555555555,0.4722196796338672,0.4865357720804643,0.989295861685776,0.5027600896053119,22632.0,307.9222737765405
31,generalization,gen_045,,,inceptiontime,10,wd0.01_do0.5_ls0.3,top50_quality,mean_prob,subject_balanced,50%,0.0,0.55,0.0368048276191699,0.5043080968472814,0.5406692206503756,0.45,0.4738837289301685,0.4777126680608202,0.9620231425196708,0.4843104744588505,8040.0,103.74447405161337
32,generalization,gen_004,,,inceptiontime,10,wd0.005_do0.5_ls0.2,none,mean_prob,subject_balanced,50%,30.0,0.55,0.0927313774707724,0.4348772459293946,0.5369104664299172,0.3666666666666666,0.4482745324850588,0.4602546462181432,0.9808709691481848,0.5206163229300416,22608.0,208.96564202201552
33,generalization,gen_017,,,inceptiontime,10,wd0.005_do0.5_ls0.2,top50_quality,mean_prob,subject_balanced,50%,0.0,0.549074074074074,0.0419996978890434,0.4969329216077039,0.5374139856245119,0.35,0.4173160173160173,0.4840687381460499,0.9633663706009262,0.4792976324548762,8040.0,103.92005984298883
35,generalization,gen_149,,,small_inceptiontime,10,wd0.01_do0.5_ls0.3,none,mean_prob,class_subject_balanced,50%,0.0,0.5481481481481482,0.0570403438194868,0.4773345610675155,0.5366442845080616,0.375,0.4328822055137844,0.4343198904793667,0.9360966070340082,0.5017767165546413,19735.0,58.73666342603974
36,generalization,gen_186,,,small_inceptiontime,15,wd0.005_do0.5_ls0.2,top50_quality,mean_prob,subject_balanced,50%,30.0,0.5472222222222223,0.0759597937110877,0.4529208013961198,0.5352672473725105,0.3583333333333333,0.4053479853479853,0.4514764777747063,0.9407090608408613,0.4892325830661549,11364.0,56.92233574297279
37,generalization,gen_170,,,small_inceptiontime,15,wd0.005_do0.5_ls0.2,none,mean_prob,none,all,30.0,0.5462962962962963,0.1161105204072634,0.4021491559168872,0.538415016460783,0.4333333333333334,0.4753105590062113,0.4893654837389508,0.9818005549819022,0.4924350712429514,45180.0,165.7929840097204
38,generalization,gen_211,,,small_inceptiontime,15,wd0.01_do0.5_ls0.3,top50_quality,mean_prob,none,all,0.0,0.5453703703703704,0.1077520810654574,0.4115999393961904,0.5346918781701391,0.425,0.4548717948717948,0.463448035286398,0.9547737943047622,0.4913257590183642,16044.0,72.75720194820315
39,generalization,gen_184,,,small_inceptiontime,15,wd0.005_do0.5_ls0.2,top50_quality,mean_prob,none,all,30.0,0.5444444444444445,0.0623368927924534,0.4670553775050129,0.525358965976815,0.35,0.4084981684981684,0.4692467313982867,0.9683705225655184,0.4991237911672318,22632.0,92.91062601697632
41,generalization,gen_183,,,small_inceptiontime,15,wd0.005_do0.5_ls0.2,top50_quality,mean_prob,none,all,0.0,0.5425925925925925,0.1132793837945234,0.4019602090613872,0.5324275216266063,0.4,0.432014652014652,0.4662312661420859,0.956633327980791,0.4904020618387049,16044.0,71.7648869406432
42,generalization,gen_205,,,small_inceptiontime,15,wd0.01_do0.5_ls0.3,none,mean_prob,class_subject_balanced,50%,0.0,0.5416666666666667,0.0796511598800243,0.4427825441570377,0.5248442075067462,0.4,0.4671393621858017,0.4532220783974493,0.9512618917517974,0.4980398133543481,19735.0,84.90038299080916
43,generalization,gen_176,,,small_inceptiontime,15,wd0.005_do0.5_ls0.2,none,mean_prob,subject_balanced,32,30.0,0.5407407407407407,0.0140423619334288,0.523307640710041,0.5300986536832546,0.3972222222222222,0.439096146819932,0.4014399605593391,0.8808882275132275,0.4794482669538884,3712.0,32.29718002821319
44,generalization,gen_128,,,small_inceptiontime,10,wd0.005_do0.5_ls0.2,top50_quality,mean_prob,none,all,30.0,0.5398148148148149,0.0928006920767911,0.4246060090909305,0.5374463448205989,0.375,0.4085972850678733,0.4756426256471764,0.9527023343459582,0.4770597086987818,22632.0,65.03826100518927
45,generalization,gen_214,,,small_inceptiontime,15,wd0.01_do0.5_ls0.3,top50_quality,mean_prob,subject_balanced,50%,30.0,0.5398148148148147,0.070561995428861,0.4522145713152691,0.527527770833734,0.3666666666666666,0.4156390977443608,0.4415816212782735,0.9375408403356288,0.4959592190573551,11364.0,57.892318706633525
46,generalization,gen_204,,,small_inceptiontime,15,wd0.01_do0.5_ls0.3,none,mean_prob,subject_balanced,32,30.0,0.537962962962963,0.0629186935873869,0.4598516107339127,0.5262417465425945,0.4055555555555555,0.4532066739739374,0.3908325953453581,0.8731188822751322,0.4822862869297741,3712.0,33.145482894731686
47,generalization,gen_122,,,small_inceptiontime,10,wd0.005_do0.5_ls0.2,none,mean_prob,class_subject_balanced,50%,30.0,0.5379629629629629,0.0960243667635755,0.4187520781338987,0.5371461566755684,0.375,0.418124098124098,0.4666701246654878,0.9565333923496524,0.4898632676841645,28078.4,76.55442397021689
48,generalization,gen_009,,,inceptiontime,10,wd0.005_do0.5_ls0.2,none,mean_prob,class_subject_balanced,50%,0.0,0.5370370370370371,0.0267959187564588,0.5037708433361183,0.5306652316456237,0.3833333333333333,0.4156561085972851,0.4803859791990488,0.9770026018910504,0.4966166226920014,19735.0,187.95881034266205
