overfit_rank,overfit_config_id,overfit_stage,reference_source,reference_source_config_id,model,resolved_model,cnn_epochs,stage1_regularization_value,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,sqi_mode,aggregation,window_sampler,windows_per_subject_per_epoch,train_overlap_pct,subject_balanced_accuracy_mean,subject_balanced_accuracy_std,subject_balanced_accuracy_ci95_low,subject_macro_f1_mean,subject_macro_f1_std,worst_class_recall_mean,worst_class_f1_mean,train_val_balanced_accuracy_gap_mean,best_epoch_train_balanced_accuracy_mean,best_epoch_val_balanced_accuracy_mean,n_train_samples_per_epoch_mean,duration_sec_mean
25,gen_056,generalization,,,inceptiontime,inception_time,10,wd0.01_do0.5_ls0.3,0.01,0.5,0.3,top50_quality,mean_prob,class_subject_balanced,32,30.0,0.5564814814814814,0.0809457345025442,0.4559901899643459,0.5394577189809387,0.0842610083479531,0.3666666666666666,0.4440925087983912,0.437548557621179,0.9270046296296296,0.4894560720084506,4608.0,79.5085102721583
43,gen_176,generalization,,,small_inceptiontime,small_inception_time,15,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,none,mean_prob,subject_balanced,32,30.0,0.5407407407407407,0.0140423619334288,0.523307640710041,0.5300986536832546,0.0160105376749369,0.3972222222222222,0.439096146819932,0.4014399605593391,0.8808882275132275,0.4794482669538884,3712.0,32.29718002821319
46,gen_204,generalization,,,small_inceptiontime,small_inception_time,15,wd0.01_do0.5_ls0.3,0.01,0.5,0.3,none,mean_prob,subject_balanced,32,30.0,0.537962962962963,0.0629186935873869,0.4598516107339127,0.5262417465425945,0.0668969487408677,0.4055555555555555,0.4532066739739374,0.3908325953453581,0.8731188822751322,0.4822862869297741,3712.0,33.145482894731686
49,gen_140,generalization,,,small_inceptiontime,small_inception_time,10,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,top50_quality,mean_prob,class_subject_balanced,32,30.0,0.537037037037037,0.0985360956194109,0.4147079288918842,0.5269038771212685,0.1065712099494768,0.325,0.385,0.3731170967426033,0.8489537037037037,0.4758366069611003,4608.0,26.29319100258872
58,gen_222,generalization,,,small_inceptiontime,small_inception_time,15,wd0.01_do0.5_ls0.3,0.01,0.5,0.3,top50_quality,mean_prob,class_subject_balanced,16,30.0,0.5324074074074074,0.0802543325155542,0.4327744672173324,0.5189004733021425,0.0799466617894912,0.3833333333333333,0.4357843137254902,0.3616260397561135,0.8189629629629629,0.4573369232068495,2304.0,27.735011442564428
61,gen_027,generalization,,,inceptiontime,inception_time,10,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,top50_quality,mean_prob,class_subject_balanced,32,0.0,0.5296296296296297,0.0950258971271964,0.4116583098488909,0.5211069956257501,0.1152183074736302,0.3833333333333333,0.406047471620227,0.4630131046063021,0.9341574074074076,0.4711443028011054,4608.0,79.27959523675963
70,gen_103,generalization,,,inceptiontime,inception_time,15,wd0.01_do0.5_ls0.3,0.01,0.5,0.3,top50_quality,mean_prob,subject_balanced,16,0.0,0.5277777777777778,0.0689799278969969,0.4421416156535064,0.5163756951583038,0.076144965221095,0.3305555555555555,0.3935042735042735,0.4465196135140815,0.912999007936508,0.4664793944224263,1856.0,83.57044843262993
80,gen_137,generalization,,,small_inceptiontime,small_inception_time,10,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,top50_quality,mean_prob,class_subject_balanced,16,0.0,0.5231481481481481,0.0904852791004262,0.4108138464586071,0.5181456321223898,0.091446162232078,0.375,0.4139194139194139,0.305309208259742,0.7871666666666668,0.4818574584069246,2304.0,21.051047949725763
83,gen_075,generalization,,,inceptiontime,inception_time,15,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,top50_quality,mean_prob,subject_balanced,16,0.0,0.5222222222222223,0.0639324864664964,0.4428522816762127,0.516132240861545,0.0642922526864753,0.3,0.361025641025641,0.449212258055231,0.9192030423280424,0.4699907842728112,1856.0,83.64450761396438
91,gen_138,generalization,,,small_inceptiontime,small_inception_time,10,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,top50_quality,mean_prob,class_subject_balanced,16,30.0,0.5185185185185185,0.0815130410261991,0.4173229358414037,0.5036902298199017,0.0931642122852513,0.35,0.3984962406015037,0.321200493720492,0.786,0.4647995062795079,2304.0,21.322999259782957
