denoiser,IR/RED,RMSE ± SD (ms),F1 ± SD (%),RMSE P versus identity
spectral_mask*,IR,70.0 ± 45.5*,91.4 ± 8.1,0.0656
ssa_decomposition,IR,70.4 ± 48.7,91.7 ± 8.0,0.0154
pca_bss,IR,71.4 ± 43.4,93.7 ± 5.3,0.1547
pca_bss,RED,71.4 ± 43.4,93.7 ± 5.3,1.00e-04
fastica_bss*,IR,71.7 ± 39.9,93.8 ± 5.0*,0.3947
fastica_bss*,RED,71.7 ± 39.9,93.8 ± 5.0*,0.0530
identity,IR,74.3 ± 48.7,91.3 ± 8.0,Reference
spectral_mask,RED,76.8 ± 43.9,91.1 ± 7.8,0.0028
ssa_decomposition,RED,79.5 ± 47.6,91.4 ± 7.8,0.0530
identity,RED,83.9 ± 46.0,90.6 ± 7.7,Reference
nmf_bss,IR,84.2 ± 37.6,87.6 ± 9.2,0.0656
nmf_bss,RED,87.8 ± 38.7,87.0 ± 8.6,0.2525
nlms_imu_anc,IR,146.9 ± 19.4,80.4 ± 5.5,6.00e-05
nlms_imu_anc,RED,147.5 ± 18.3,80.2 ± 5.4,6.00e-05
