source_study,parameter_group,parameter,unique_value_count,observed_values,parameter_role,comparison_interpretation
20260608_1206_overfitting_sweep_stage1_rank2,architecture,model,1,"[""inceptiontime""]",fixed,fixed_within_archive
20260608_1206_overfitting_sweep_stage1_rank2,architecture,resolved_model,1,"[""inception_time""]",fixed,fixed_within_archive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,extra_input,1,"[""0""]",fixed,fixed_within_archive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,window_sec,1,"[""5""]",fixed,fixed_within_archive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,hop_sec,1,"[""2.5""]",fixed,fixed_within_archive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,overlap_pct,1,"[""50""]",fixed,fixed_within_archive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,6,"[""0.2"", ""0.3"", ""0.5"", ""0.7"", ""0.9"", ""1""]",varied,marginal_descriptive_not_single_factor_causal
20260608_1206_overfitting_sweep_stage1_rank2,training_budget,cnn_epochs,6,"[""10"", ""12"", ""15"", ""5"", ""50"", ""8""]",varied,marginal_descriptive_not_single_factor_causal
20260608_1206_overfitting_sweep_stage1_rank2,training_budget,cnn_patience,1,"[""0""]",fixed,fixed_within_archive
20260608_1206_overfitting_sweep_stage1_rank2,training_budget,early_stopping_source,1,"[""none_final_epoch_fixed""]",fixed,fixed_within_archive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_lr,2,"[""0.0005"", ""0.001""]",varied,marginal_descriptive_not_single_factor_causal
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,10,"[""0"", ""0.0001"", ""0.0005"", ""0.001"", ""0.002"", ""0.005"", ""0.01"", ""0.02"", ""1e-05"", ""5e-05""]",varied,marginal_descriptive_not_single_factor_causal
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,9,"[""-1"", ""0"", ""0.1"", ""0.2"", ""0.3"", ""0.4"", ""0.5"", ""0.6"", ""0.7""]",varied,marginal_descriptive_not_single_factor_causal
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,7,"[""0"", ""0.03"", ""0.05"", ""0.1"", ""0.15"", ""0.2"", ""0.3""]",varied,marginal_descriptive_not_single_factor_causal
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,regularization_bundle,29,"[""WD=0.0001; dropout=-1; LS=0"", ""WD=0.0001; dropout=0.2; LS=0.1"", ""WD=0.0005; dropout=0.1; LS=0.1"", ""WD=0.0005; dropout=0.2; LS=0"", ""WD=0.0005; dropout=0.2; LS=0.03"", ""WD=0.0005; dropout=0.2; LS=0.05"", ""WD=0.0005; dropout=0.2; LS=0.1"", ""WD=0.0005; dropout=0.2; LS=0.15"", ""WD=0.0005; dropout=0.2; LS=0.2"", ""WD=0.0005; dropout=0.2; LS=0.3"", ""WD=0.0005; dropout=0.3; LS=0.1"", ""WD=0.0005; dropout=0.4; LS=0.1"", ""WD=0.0005; dropout=0.5; LS=0.1"", ""WD=0.0005; dropout=0.6; LS=0.1"", ""WD=0.0005; dropout=0.7; LS=0.1"", ""WD=0.0005; dropout=0; LS=0.1"", ""WD=0.001; dropout=0.2; LS=0.1"", ""WD=0.002; dropout=0.2; LS=0.1"", ""WD=0.002; dropout=0.4; LS=0.15"", ""WD=0.005; dropout=0.2; LS=0.1"", ""WD=0.005; dropout=0.4; LS=0.15"", ""WD=0.005; dropout=0.5; LS=0.2"", ""WD=0.01; dropout=0.2; LS=0.1"", ""WD=0.01; dropout=0.5; LS=0.2"", ""WD=0.01; dropout=0.6; LS=0.3"", ""WD=0.02; dropout=0.2; LS=0.1"", ""WD=0; dropout=0.2; LS=0.1"", ""WD=1e-05; dropout=0.2; LS=0.1"", ""WD=5e-05; dropout=0.2; LS=0.1""]",varied,marginal_descriptive_not_single_factor_causal
20260608_1206_overfitting_sweep_stage1_rank2,study_factor,overfit_stage,2,"[""reference"", ""stage1""]",varied,marginal_descriptive_not_single_factor_causal
20260608_1206_overfitting_sweep_stage1_rank2,study_factor,stage1_screen_group,2,"[""main_effect"", ""strong_combo""]",varied,marginal_descriptive_not_single_factor_causal
20260608_1206_overfitting_sweep_stage1_rank2,study_factor,stage1_regularization_factor,6,"[""baseline"", ""combined_regularization"", ""dropout"", ""label_smoothing"", ""max_windows_fraction"", ""weight_decay""]",varied,marginal_descriptive_not_single_factor_causal
20260608_1206_overfitting_sweep_stage1_rank2,study_factor,stage1_regularization_value,28,"[""0.0"", ""0.0001"", ""0.001"", ""0.002"", ""0.005"", ""0.01"", ""0.02"", ""0.03"", ""0.05"", ""0.1"", ""0.15"", ""0.2"", ""0.3"", ""0.4"", ""0.5"", ""0.6"", ""0.7"", ""1.0"", ""1e-05"", ""5e-05"", ""base"", ""wd0.002_do0.4_ls0.15_mw0.9"", ""wd0.005_do0.4_ls0.15_mw0.9"", ""wd0.005_do0.5_ls0.2_mw0.7"", ""wd0.005_do0.5_ls0.2_mw0.9"", ""wd0.01_do0.5_ls0.2_mw0.9"", ""wd0.01_do0.6_ls0.3_mw0.7"", ""wd0.01_do0.6_ls0.3_mw0.9""]",varied,marginal_descriptive_not_single_factor_causal
20260608_1206_overfitting_sweep_stage1_rank2,study_factor,is_reference,2,"[""0"", ""1""]",varied,marginal_descriptive_not_single_factor_causal
