rank,config_or_model,model,subject_BA_mean_sd_percent,subject_BA_repeat_t_CI95_percent,subject_macro_F1_mean_sd_percent,subject_macro_F1_repeat_t_CI95_percent,subject_macro_ROC_AUC,ROC_AUC_applicability,scientific_role
1,s1_122,inception_time,61.0 ± 6.1,"[53.4, 68.6]",60.4 ± 6.1,"[52.9, 67.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
2,s1_102,inception_time,61.0 ± 2.1,"[58.4, 63.6]",60.1 ± 2.0,"[57.6, 62.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
3,s1_121,inception_time,59.3 ± 8.2,"[49.0, 69.5]",58.7 ± 8.4,"[48.3, 69.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
4,s1_055,inception_time,58.0 ± 5.4,"[51.3, 64.6]",56.7 ± 6.4,"[48.7, 64.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
5,s1_075,inception_time,58.0 ± 5.6,"[51.0, 64.9]",56.9 ± 6.8,"[48.5, 65.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
6,s1_061,inception_time,57.8 ± 5.7,"[50.7, 64.9]",57.6 ± 6.5,"[49.5, 65.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
7,s1_054,inception_time,57.5 ± 6.0,"[50.0, 65.0]",56.3 ± 7.4,"[47.1, 65.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
8,s1_033,inception_time,57.3 ± 4.3,"[51.9, 62.7]",55.6 ± 4.9,"[49.5, 61.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
9,s1_099,inception_time,57.3 ± 5.6,"[50.3, 64.3]",56.3 ± 5.2,"[49.8, 62.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
10,s1_067,inception_time,57.2 ± 4.6,"[51.6, 62.9]",55.5 ± 5.1,"[49.2, 61.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
11,s1_065,inception_time,57.0 ± 2.1,"[54.4, 59.7]",57.0 ± 2.5,"[53.9, 60.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
12,s1_003,inception_time,57.0 ± 8.0,"[47.2, 66.9]",56.1 ± 8.0,"[46.1, 66.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
