rank,config_or_model,model,subject_BA_mean_sd_percent,subject_BA_repeat_t_CI95_percent,subject_macro_F1_mean_sd_percent,subject_macro_F1_repeat_t_CI95_percent,subject_macro_ROC_AUC,ROC_AUC_applicability,scientific_role
13,s1_090,inception_time,56.9 ± 4.8,"[51.0, 62.8]",54.7 ± 5.4,"[48.0, 61.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
14,s1_074,inception_time,56.8 ± 7.4,"[47.5, 66.0]",55.8 ± 8.1,"[45.7, 65.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
15,s1_079,inception_time,56.7 ± 9.0,"[45.5, 67.8]",55.8 ± 10.1,"[43.3, 68.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
16,s1_057,inception_time,56.6 ± 8.9,"[45.5, 67.6]",55.3 ± 9.9,"[43.0, 67.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
17,s1_002,inception_time,56.6 ± 5.9,"[49.2, 63.9]",55.9 ± 6.3,"[48.0, 63.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
18,s1_068,inception_time,56.6 ± 3.0,"[52.9, 60.3]",54.9 ± 2.3,"[52.1, 57.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
19,s1_051,inception_time,56.5 ± 6.6,"[48.3, 64.7]",55.3 ± 7.8,"[45.6, 64.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
20,s1_052,inception_time,56.4 ± 3.3,"[52.3, 60.5]",54.9 ± 3.0,"[51.2, 58.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
21,s1_078,inception_time,56.3 ± 6.8,"[47.8, 64.8]",54.5 ± 7.1,"[45.6, 63.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
22,s1_096,inception_time,56.2 ± 5.3,"[49.6, 62.8]",55.6 ± 4.6,"[50.0, 61.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
23,s1_037,inception_time,56.2 ± 9.5,"[44.4, 68.0]",55.3 ± 9.4,"[43.6, 66.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
24,s1_101,inception_time,56.0 ± 7.5,"[46.7, 65.4]",55.1 ± 7.1,"[46.3, 63.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
25,s1_070,inception_time,55.9 ± 4.9,"[49.8, 62.1]",54.2 ± 6.5,"[46.1, 62.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
26,s1_019,inception_time,55.8 ± 6.7,"[47.5, 64.2]",55.1 ± 7.2,"[46.2, 64.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
27,s1_022,inception_time,55.8 ± 6.6,"[47.7, 64.0]",54.3 ± 7.5,"[44.9, 63.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
28,s1_100,inception_time,55.8 ± 3.5,"[51.5, 60.1]",53.5 ± 4.6,"[47.8, 59.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
29,s1_043,inception_time,55.7 ± 5.9,"[48.4, 63.1]",54.7 ± 6.8,"[46.2, 63.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
30,s1_072,inception_time,55.6 ± 4.1,"[50.6, 60.7]",54.1 ± 4.0,"[49.2, 59.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
31,s1_053,inception_time,55.6 ± 2.6,"[52.4, 58.9]",54.1 ± 3.4,"[49.9, 58.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
32,s1_024,inception_time,55.6 ± 6.6,"[47.4, 63.7]",54.8 ± 7.6,"[45.4, 64.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
33,s1_064,inception_time,55.6 ± 3.2,"[51.5, 59.6]",54.4 ± 3.1,"[50.6, 58.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
34,s1_048,inception_time,55.5 ± 7.4,"[46.2, 64.7]",54.6 ± 7.5,"[45.2, 64.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
35,s1_045,inception_time,55.4 ± 8.3,"[45.0, 65.7]",54.9 ± 9.2,"[43.5, 66.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
36,s1_049,inception_time,55.4 ± 4.0,"[50.4, 60.4]",54.0 ± 4.6,"[48.2, 59.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
37,s1_066,inception_time,55.3 ± 7.2,"[46.4, 64.2]",54.5 ± 8.3,"[44.2, 64.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
38,s1_086,inception_time,55.3 ± 8.5,"[44.7, 65.8]",54.2 ± 8.3,"[43.9, 64.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
39,s1_060,inception_time,55.3 ± 6.8,"[46.8, 63.7]",53.8 ± 6.5,"[45.8, 61.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
40,s1_080,inception_time,55.0 ± 6.9,"[46.4, 63.6]",53.8 ± 7.1,"[45.0, 62.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
41,s1_036,inception_time,55.0 ± 9.2,"[43.6, 66.4]",53.6 ± 9.6,"[41.7, 65.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
42,s1_013,inception_time,55.0 ± 7.2,"[46.1, 63.9]",53.5 ± 7.8,"[43.8, 63.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
43,s1_034,inception_time,54.8 ± 6.6,"[46.7, 63.0]",54.7 ± 7.0,"[46.0, 63.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
44,s1_008,inception_time,54.8 ± 5.6,"[47.9, 61.7]",53.9 ± 6.1,"[46.4, 61.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
45,s1_091,inception_time,54.8 ± 3.9,"[49.9, 59.7]",53.8 ± 4.3,"[48.4, 59.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
46,s1_010,inception_time,54.8 ± 7.5,"[45.5, 64.1]",53.7 ± 7.8,"[44.1, 63.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
47,s1_059,inception_time,54.8 ± 9.0,"[43.6, 66.0]",53.7 ± 9.8,"[41.5, 65.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
48,s1_047,inception_time,54.7 ± 7.9,"[44.9, 64.6]",54.2 ± 8.2,"[44.0, 64.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
49,s1_044,inception_time,54.6 ± 7.7,"[45.0, 64.2]",53.9 ± 8.5,"[43.4, 64.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
50,s1_004,inception_time,54.6 ± 8.6,"[44.0, 65.3]",53.6 ± 8.3,"[43.4, 63.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
51,s1_025,inception_time,54.4 ± 3.7,"[49.9, 59.0]",54.4 ± 4.4,"[48.9, 59.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
52,s1_032,inception_time,54.4 ± 8.4,"[44.0, 64.9]",53.4 ± 9.4,"[41.8, 65.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
53,s1_029,inception_time,54.4 ± 4.8,"[48.5, 60.4]",54.7 ± 5.3,"[48.1, 61.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
54,s1_089,inception_time,54.4 ± 4.8,"[48.4, 60.5]",52.9 ± 5.9,"[45.5, 60.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
55,s1_005,inception_time,54.3 ± 8.6,"[43.5, 65.0]",53.2 ± 8.8,"[42.2, 64.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
56,s1_050,inception_time,54.2 ± 5.0,"[47.9, 60.4]",52.9 ± 6.3,"[45.2, 60.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
57,s1_098,inception_time,54.2 ± 5.3,"[47.6, 60.7]",53.2 ± 4.8,"[47.3, 59.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
58,s1_028,inception_time,54.2 ± 8.2,"[44.0, 64.4]",53.0 ± 8.7,"[42.2, 63.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
59,s1_076,inception_time,54.2 ± 6.9,"[45.6, 62.8]",52.3 ± 6.5,"[44.2, 60.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
60,s1_103,inception_time,54.1 ± 4.1,"[48.9, 59.2]",53.2 ± 4.1,"[48.0, 58.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
61,s1_119,inception_time,54.0 ± 7.0,"[45.3, 62.7]",53.2 ± 8.0,"[43.3, 63.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
62,s1_012,inception_time,54.0 ± 4.9,"[47.9, 60.0]",52.5 ± 5.7,"[45.4, 59.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
63,s1_069,inception_time,54.0 ± 5.3,"[47.4, 60.5]",52.3 ± 5.1,"[46.0, 58.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
64,s1_120,inception_time,53.9 ± 7.6,"[44.4, 63.4]",52.2 ± 8.5,"[41.7, 62.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
65,s1_058,inception_time,53.8 ± 2.4,"[50.8, 56.8]",52.6 ± 2.3,"[49.8, 55.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
66,s1_107,inception_time,53.7 ± 8.7,"[42.9, 64.5]",52.6 ± 8.2,"[42.5, 62.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
67,s1_027,inception_time,53.6 ± 8.1,"[43.5, 63.7]",53.6 ± 8.5,"[43.1, 64.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
68,s1_046,inception_time,53.6 ± 5.8,"[46.4, 60.8]",53.0 ± 6.3,"[45.1, 60.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
69,s1_112,inception_time,53.6 ± 8.0,"[43.7, 63.5]",52.5 ± 8.6,"[41.8, 63.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
70,s1_087,inception_time,53.5 ± 12.6,"[37.9, 69.2]",52.3 ± 13.3,"[35.8, 68.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
71,s1_073,inception_time,53.5 ± 5.7,"[46.4, 60.6]",52.2 ± 5.8,"[45.1, 59.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
72,s1_006,inception_time,53.4 ± 8.5,"[42.9, 64.0]",53.6 ± 8.9,"[42.6, 64.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
73,s1_035,inception_time,53.4 ± 4.9,"[47.4, 59.5]",52.6 ± 5.8,"[45.4, 59.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
74,s1_077,inception_time,53.3 ± 8.7,"[42.6, 64.1]",52.1 ± 9.2,"[40.6, 63.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
75,s1_097,inception_time,53.2 ± 6.7,"[44.9, 61.6]",51.6 ± 7.9,"[41.8, 61.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
76,s1_031,inception_time,53.1 ± 6.1,"[45.6, 60.7]",53.0 ± 6.6,"[44.7, 61.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
77,ref_rank2_fixed_epoch_ep15,inception_time,53.1 ± 5.4,"[46.5, 59.8]",52.1 ± 5.9,"[44.8, 59.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
78,s1_018,inception_time,53.1 ± 5.4,"[46.3, 59.8]",52.8 ± 6.0,"[45.4, 60.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
79,s1_015,inception_time,53.1 ± 9.1,"[41.8, 64.3]",52.1 ± 9.3,"[40.6, 63.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
80,s1_095,inception_time,53.0 ± 4.9,"[46.9, 59.1]",52.5 ± 4.5,"[47.0, 58.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
81,s1_001,inception_time,53.0 ± 6.9,"[44.4, 61.6]",52.5 ± 7.2,"[43.5, 61.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
82,s1_094,inception_time,52.8 ± 4.3,"[47.5, 58.1]",51.8 ± 3.8,"[47.1, 56.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
83,s1_093,inception_time,52.8 ± 5.9,"[45.4, 60.2]",51.2 ± 7.4,"[42.0, 60.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
84,s1_106,inception_time,52.6 ± 8.8,"[41.6, 63.6]",51.1 ± 8.1,"[41.1, 61.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
85,s1_009,inception_time,52.5 ± 9.7,"[40.4, 64.6]",52.2 ± 9.7,"[40.2, 64.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
86,s1_017,inception_time,52.5 ± 13.4,"[35.9, 69.1]",51.9 ± 12.9,"[35.8, 67.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
87,s1_023,inception_time,52.4 ± 5.0,"[46.2, 58.6]",51.3 ± 5.2,"[44.9, 57.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
88,s1_014,inception_time,52.3 ± 8.2,"[42.2, 62.5]",51.8 ± 8.5,"[41.2, 62.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
89,s1_111,inception_time,52.3 ± 4.7,"[46.4, 58.2]",51.5 ± 5.4,"[44.9, 58.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
90,s1_071,inception_time,52.2 ± 4.7,"[46.3, 58.1]",50.8 ± 5.0,"[44.7, 57.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
91,s1_108,inception_time,52.1 ± 6.5,"[44.1, 60.2]",51.3 ± 7.6,"[41.9, 60.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
92,s1_038,inception_time,52.0 ± 5.5,"[45.2, 58.8]",51.6 ± 6.2,"[43.9, 59.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
93,s1_118,inception_time,52.0 ± 6.0,"[44.6, 59.5]",51.3 ± 6.6,"[43.0, 59.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
94,s1_113,inception_time,52.0 ± 6.3,"[44.2, 59.9]",50.4 ± 6.4,"[42.5, 58.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
95,s1_088,inception_time,51.9 ± 5.0,"[45.7, 58.2]",51.2 ± 5.5,"[44.3, 58.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
96,s1_110,inception_time,51.9 ± 3.6,"[47.4, 56.4]",50.3 ± 3.0,"[46.6, 54.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
97,s1_117,inception_time,51.9 ± 5.7,"[44.9, 59.0]",50.8 ± 6.1,"[43.2, 58.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
98,s1_056,inception_time,51.9 ± 10.2,"[39.3, 64.6]",50.6 ± 9.9,"[38.3, 62.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
99,ref_rank2_fixed_epoch_ep10,inception_time,51.9 ± 2.8,"[48.4, 55.3]",50.8 ± 3.0,"[47.0, 54.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
100,s1_109,inception_time,51.9 ± 4.2,"[46.6, 57.1]",50.1 ± 4.0,"[45.1, 55.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
101,s1_114,inception_time,51.8 ± 3.5,"[47.4, 56.1]",49.5 ± 4.0,"[44.6, 54.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
102,s1_016,inception_time,51.5 ± 4.4,"[46.0, 57.0]",49.9 ± 4.4,"[44.4, 55.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
103,s1_115,inception_time,51.5 ± 3.7,"[46.9, 56.0]",49.4 ± 4.5,"[43.9, 55.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
104,s1_011,inception_time,51.3 ± 3.7,"[46.7, 55.9]",50.6 ± 3.2,"[46.7, 54.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
105,s1_092,inception_time,50.9 ± 5.0,"[44.7, 57.1]",49.6 ± 5.9,"[42.3, 56.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
106,s1_116,inception_time,50.8 ± 6.3,"[43.0, 58.6]",50.6 ± 6.8,"[42.0, 59.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
107,ref_rank2_fixed_epoch_ep9,inception_time,50.4 ± 3.9,"[45.6, 55.2]",48.4 ± 4.8,"[42.5, 54.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
108,s1_026,inception_time,50.2 ± 7.0,"[41.5, 58.9]",50.0 ± 7.7,"[40.4, 59.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
109,s1_030,inception_time,49.0 ± 8.1,"[39.0, 59.0]",48.9 ± 8.8,"[38.0, 59.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
110,s1_085,inception_time,48.9 ± 5.4,"[42.1, 55.6]",48.1 ± 5.6,"[41.1, 55.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
111,s1_007,inception_time,47.2 ± 4.5,"[41.6, 52.9]",46.5 ± 5.9,"[39.2, 53.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
112,s1_082,inception_time,46.3 ± 6.8,"[37.8, 54.8]",46.1 ± 6.6,"[37.9, 54.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
113,s1_040,inception_time,45.6 ± 8.4,"[35.3, 56.0]",44.8 ± 8.2,"[34.6, 54.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
114,s1_041,inception_time,43.9 ± 4.2,"[38.7, 49.1]",42.2 ± 4.9,"[36.1, 48.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
115,s1_084,inception_time,43.5 ± 4.8,"[37.6, 49.4]",42.3 ± 5.5,"[35.5, 49.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
116,s1_083,inception_time,43.2 ± 4.5,"[37.7, 48.8]",41.0 ± 5.2,"[34.6, 47.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
117,s1_081,inception_time,42.6 ± 4.5,"[37.0, 48.2]",40.6 ± 4.7,"[34.7, 46.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
118,s1_042,inception_time,42.5 ± 8.1,"[32.4, 52.6]",42.0 ± 8.0,"[32.1, 51.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
119,s1_104,inception_time,41.8 ± 4.8,"[35.8, 47.8]",40.3 ± 5.3,"[33.8, 46.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
120,s1_039,inception_time,41.7 ± 4.7,"[35.8, 47.5]",39.9 ± 4.7,"[34.0, 45.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
121,s1_125,inception_time,41.5 ± 6.8,"[33.1, 49.9]",39.1 ± 6.7,"[30.8, 47.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
122,s1_105,inception_time,41.3 ± 3.1,"[37.5, 45.1]",39.3 ± 3.7,"[34.7, 43.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
123,s1_126,inception_time,41.2 ± 3.2,"[37.2, 45.2]",40.4 ± 3.7,"[35.8, 45.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
124,s1_123,inception_time,40.6 ± 4.8,"[34.7, 46.5]",37.7 ± 5.1,"[31.3, 44.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
125,s1_063,inception_time,40.0 ± 6.4,"[32.0, 48.0]",37.3 ± 7.8,"[27.6, 47.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
126,s1_020,inception_time,39.8 ± 2.8,"[36.3, 43.3]",38.5 ± 3.3,"[34.4, 42.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
127,s1_021,inception_time,39.6 ± 4.5,"[34.1, 45.2]",37.8 ± 5.7,"[30.7, 45.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
128,s1_062,inception_time,39.5 ± 4.4,"[34.0, 45.0]",38.6 ± 4.5,"[33.0, 44.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
129,s1_124,inception_time,38.5 ± 8.8,"[27.6, 49.5]",37.9 ± 9.3,"[26.4, 49.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
