source_study,parameter_group,parameter,unique_value_count,observed_values,parameter_role,comparison_interpretation
20260625_2320_overfitting_sweep_stage1_rank2,architecture,model,1,"[""inceptiontime""]",fixed,fixed_within_archive
20260625_2320_overfitting_sweep_stage1_rank2,architecture,resolved_model,1,"[""inception_time""]",fixed,fixed_within_archive
20260625_2320_overfitting_sweep_stage1_rank2,input_and_windowing,extra_input,1,"[""0""]",fixed,fixed_within_archive
20260625_2320_overfitting_sweep_stage1_rank2,input_and_windowing,window_sec,1,"[""5""]",fixed,fixed_within_archive
20260625_2320_overfitting_sweep_stage1_rank2,input_and_windowing,hop_sec,1,"[""2.5""]",fixed,fixed_within_archive
20260625_2320_overfitting_sweep_stage1_rank2,input_and_windowing,overlap_pct,1,"[""50""]",fixed,fixed_within_archive
20260625_2320_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,4,"[""0.5"", ""0.7"", ""0.9"", ""1""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,training_budget,cnn_epochs,3,"[""10"", ""15"", ""9""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,training_budget,cnn_patience,1,"[""0""]",fixed,fixed_within_archive
20260625_2320_overfitting_sweep_stage1_rank2,training_budget,early_stopping_source,1,"[""none_final_epoch_fixed""]",fixed,fixed_within_archive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_lr,1,"[""0.001""]",fixed,fixed_within_archive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,6,"[""0.0001"", ""0.001"", ""0.002"", ""0.005"", ""0.01"", ""0.02""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,6,"[""-1"", ""0.3"", ""0.4"", ""0.5"", ""0.6"", ""0.7""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,6,"[""0"", ""0.05"", ""0.1"", ""0.15"", ""0.2"", ""0.3""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,3,"[""balanced_softmax"", ""focal_loss"", ""weighted_ce""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,class_weight_mode,2,"[""effective_number"", ""inverse_subject_count""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,regularization_bundle,26,"[""WD=0.0001; dropout=-1; LS=0"", ""WD=0.001; dropout=0.5; LS=0.2"", ""WD=0.002; dropout=0.5; LS=0.2"", ""WD=0.005; dropout=0.3; LS=0.2"", ""WD=0.005; dropout=0.4; LS=0.15"", ""WD=0.005; dropout=0.4; LS=0.2"", ""WD=0.005; dropout=0.4; LS=0.3"", ""WD=0.005; dropout=0.5; LS=0.05"", ""WD=0.005; dropout=0.5; LS=0.1"", ""WD=0.005; dropout=0.5; LS=0.15"", ""WD=0.005; dropout=0.5; LS=0.2"", ""WD=0.005; dropout=0.5; LS=0.3"", ""WD=0.005; dropout=0.6; LS=0.15"", ""WD=0.005; dropout=0.6; LS=0.2"", ""WD=0.005; dropout=0.6; LS=0.3"", ""WD=0.005; dropout=0.7; LS=0.2"", ""WD=0.01; dropout=0.4; LS=0.15"", ""WD=0.01; dropout=0.4; LS=0.2"", ""WD=0.01; dropout=0.4; LS=0.3"", ""WD=0.01; dropout=0.5; LS=0.15"", ""WD=0.01; dropout=0.5; LS=0.2"", ""WD=0.01; dropout=0.5; LS=0.3"", ""WD=0.01; dropout=0.6; LS=0.15"", ""WD=0.01; dropout=0.6; LS=0.2"", ""WD=0.01; dropout=0.6; LS=0.3"", ""WD=0.02; dropout=0.5; LS=0.2""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,3,"[""none"", ""top50_quality"", ""top70_quality""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,aggregation,2,"[""mean_prob"", ""quality_weighted_mean""]",varied,marginal_descriptive_not_single_factor_causal
